member_id,first_name,last_name,date_of_birth,gender,phone,email,address,city,state,country,membership_type,join_date,member_status,last_modified
MEM000008,Sean,Dunn,15-02-1964,F,(810) 265-7304,cdavid@example.net,3778 Fox Ridge Suite 187,Boston,MA,USA,Basic,14-05-2025,Active,28-10-2025
MEM000508,Sean,Dunn,15-02-1964,F,(810) 265-7304,cdavid@example.net,1124 Perdita Way,Boston,MA,USA,Family,14-05-2025,Active,29-10-2025
MEM000012,Lauren,Hernandez,08-10-1983,F,(200) 813-6310,dorothymitchell@example.org,04828 Carey Drive,Chicago,IL,USA,Premium,03-10-2024,Active,12-10-2025
MEM000014,Joseph,Mcguire,10-12-2003,F,(984) 328-3103,aatkinson@example.org,4687 Wallace Place,Chicago,IL,USA,Student,17-06-2023,Active,12-10-2025
MEM000021,Jennifer,Russell,12-01-1983,M,(749) 659-3296,elizabeth73@example.org,796 Andrews Junction,Chicago,IL,USA,Family,26-03-2023,Active,12-10-2025
MEM000023,Gabrielle,Stephenson,25-04-1952,M,(697) 692-4502,larryle@example.com,8882 Williams Crossroad,Chicago,IL,USA,Basic,27-10-2023,Inactive,12-10-2025
MEM000029,John,Edwards,24-01-1997,M,(969) 274-1152,dwilliams@example.com,91864 Shaw Shore Suite 770,Chicago,IL,USA,Premium,26-12-2022,Active,12-10-2025
MEM000042,April,Hernandez,25-06-1979,F,(553) 946-6139,erik46@example.org,90305 Matthew Oval,Chicago,IL,USA,Family,26-03-2023,Active,12-10-2025
MEM000044,Christopher,Schmidt,13-08-1972,F,(886) 401-6967,jesse80@example.com,1090 Laurie Shores Apt. 069,Chicago,IL,USA,Premium,07-01-2023,Active,12-10-2025
MEM000047,Wanda,Suarez,16-06-1987,M,(415) 640-6279,quinnbrenda@example.com,417 Lang Knolls,Chicago,IL,USA,Premium,01-02-2024,Inactive,12-10-2025
MEM000005,Marissa,Williams,16-07-1995,M,(416) 780-6155,robertgonzalez@example.net,8340 Torres Flat,Atlanta,GA,USA,Basic,11-12-2023,Active,12-10-2025
MEM000011,Kimberly,Burgess,07-02-1991,F,(719) 823-4258,xmcdowell@example.org,8186 Monica Rapids Suite 088,Atlanta,GA,USA,Basic,29-04-2023,Active,12-10-2025
MEM000017,Justin,Strickland,23-02-2006,M,(924) 846-1964,ruizwillie@example.net,387 Thomas Green,Atlanta,GA,USA,Student,28-11-2023,Active,12-10-2025
MEM000028,Elizabeth,Lynch,17-07-1996,F,(409) 885-6147,fisherwilliam@example.com,338 William Mountain Suite 462,Atlanta,GA,USA,Premium,05-04-2024,Active,12-10-2025
MEM000034,Don,Osborn,28-09-2004,M,(989) 333-5291,erin10@example.net,00914 Ellis Mountain,Atlanta,GA,USA,Student,26-05-2024,Active,12-10-2025
MEM000036,Jamie,Hines,25-12-1979,M,(240) 566-4441,robertboyd@example.com,530 Paige Station,Atlanta,GA,USA,Basic,23-02-2023,Active,12-10-2025
MEM000037,Thomas,Humphrey,20-03-1992,O,(967) 358-4878,iweiss@example.org,29964 Baker Motorway Suite 682,Atlanta,GA,USA,Premium,10-08-2023,Inactive,12-10-2025
MEM000046,Lawrence,Allen,15-08-1981,F,(396) 630-7211,schang@example.org,04033 Ryan Forges,Atlanta,GA,USA,Basic,04-10-2024,Active,12-10-2025
