staffid,employeenumber,firstname,lastname,email,phone,hiredate,jobtitle,department,employmenttype,hourlyrate,status,terminationdate
STF0001,EMP27877,Willie,Tate,brianbrown@example.org,404-263-9188,2018-10-18,Front Desk Associate,Operations,Part-time,16,Active,
STF0002,EMP14823,Thomas,Ayala,jguerrero@example.org,+1-404-257-9376,2020-11-14,Personal Trainer,Fitness,Full-time,31,Terminated,2021-08-11
STF0003,EMP50563,Dylan,Cox,leongarrett@example.com,678-529-9789,2021-10-27,Group Fitness Instructor,Fitness,Part-time,31,Active,
STF0004,EMP20660,Courtney,Andrews,ramirezjulia@example.net,470-651-7025,2020-12-28,Lifeguard,Aquatics,Part-time,18,Active,
STF0005,EMP62801,Susan,Hall,theresa39@example.com,+1-678-852-2551,2023-10-29,Facility Manager,Management,Full-time,29,Active,
STF0006,EMP95135,Rachel,Phillips,amatthews@example.net,(404) 356-8522,2021-08-10,Membership Consultant,Sales,Full-time,22,Active,
STF0007,EMP22129,Jennifer,Graham,pachecorobert@example.org,+1-470-661-6821,2019-07-13,Group Fitness Instructor,Fitness,Part-time,39,Active,
STF0008,EMP77945,Colton,Flynn,ykeller@example.net,(770) 845-6830,2025-08-01,Childcare Attendant,Childcare,Part-time,14,Active,
STF0009,EMP48949,Mary,Williams,david78@example.net,678-930-5245,2022-03-16,Group Fitness Instructor,Fitness,Part-time,37,Active,
STF0010,EMP37398,Tracy,Taylor,garrett92@example.com,470-343-5293,2018-03-01,General Manager,Management,Full-time,36,On Leave,
STF0011,EMP28167,Madeline,Haley,nortega@example.org,404-290-2831,2019-05-23,Childcare Attendant,Childcare,Part-time,11,Active,
STF0012,EMP35594,Megan,Bean,heather68@example.org,678-988-9222,2025-07-31,Group Fitness Instructor,Fitness,Part-time,32,Active,
STF0013,EMP95990,Lauren,Foster,noah79@example.com,770-991-2308,2024-08-05,Childcare Attendant,Childcare,Part-time,16,Active,
STF0014,EMP74161,James,Luna,klewis@example.com,(770) 499-8733,2019-07-18,Facility Manager,Management,Full-time,38,Active,
STF0015,EMP37368,Donald,Villarreal,nguyenapril@example.net,+1-470-267-3679,2024-02-05,Personal Trainer,Fitness,Full-time,22,Active,
STF0016,EMP48568,Denise,Hansen,rosehaley@example.com,+1-770-504-4962,2025-02-20,Personal Trainer,Fitness,Full-time,35,Active,
STF0017,EMP78540,Ryan,Davis,shelbymiller@example.net,(470) 379-8937,2021-02-14,Personal Trainer,Fitness,Full-time,32,Active,
STF0018,EMP17120,Tiffany,Branch,bonnieduncan@example.org,470-287-3763,2018-05-23,Lifeguard,Aquatics,Part-time,17,Active,
STF0019,EMP47891,Mary,Hines,travis83@example.net,+1-470-516-2585,2018-08-11,Membership Consultant,Sales,Full-time,25,Active,
STF0020,EMP33121,Elizabeth,Schmidt,christopherking@example.net,678-234-8023,2023-05-17,Front Desk Associate,Operations,Part-time,12,Active,
STF0021,EMP70038,Kevin,Adkins,ricky24@example.org,+1-470-800-4598,2019-12-14,Personal Trainer,Fitness,Full-time,23,Active,
STF0022,EMP59643,Christine,Whitney,thomas22@example.net,770-742-2764,2021-09-21,Group Fitness Instructor,Fitness,Part-time,40,On Leave,
STF0023,EMP16890,Rhonda,Smith,kmoody@example.net,(678) 249-7749,2018-06-22,Front Desk Associate,Operations,Part-time,17,Active,
STF0024,EMP95908,Christopher,Wyatt,ryancameron@example.org,678-857-6938,2024-03-19,Maintenance Technician,Maintenance,Full-time,23,Active,
STF0025,EMP38884,Lisa,Rodriguez,zhaney@example.org,678-457-6788,2022-03-10,Membership Consultant,Sales,Full-time,17,Active,
STF0026,EMP79488,Michelle,Nunez,robertlewis@example.com,(470) 907-6861,2018-06-11,Front Desk Associate,Operations,Part-time,18,Active,
STF0027,EMP27850,Rachel,Pacheco,walkerjuan@example.org,+1-470-481-2802,2022-06-15,Facility Manager,Management,Full-time,26,Active,
STF0028,EMP31756,Christine,Santos,markcampos@example.net,+1-770-874-3323,2023-07-20,Group Fitness Instructor,Fitness,Part-time,35,Active,
STF0029,EMP47979,David,Perkins,ohughes@example.com,770-746-5361,2021-05-27,Personal Trainer,Fitness,Full-time,23,Active,
STF0030,EMP95972,William,Richardson,carlacruz@example.com,(678) 419-4922,2019-03-20,Lifeguard,Aquatics,Part-time,15,Active,
STF0031,EMP73211,Jennifer,Bradshaw,stevenclark@example.org,+1-470-369-3253,2019-12-08,Front Desk Associate,Operations,Part-time,14,Active,
STF0032,EMP48297,Gabriel,Mccullough,harrisjanice@example.org,+1-770-882-8200,2017-11-02,Maintenance Technician,Maintenance,Full-time,19,Active,
STF0033,EMP29596,Amanda,Lawrence,janetmiller@example.net,(770) 559-2393,2018-06-27,Membership Consultant,Sales,Full-time,19,Active,
STF0034,EMP92223,Dawn,Simpson,wernermorgan@example.org,770-653-4395,2018-01-18,Maintenance Technician,Maintenance,Full-time,24,Active,
STF0035,EMP82319,Dana,Osborn,wanda90@example.net,404-433-8065,2022-08-02,Personal Trainer,Fitness,Full-time,35,Active,
STF0036,EMP81022,Kevin,Koch,santiagowilliam@example.org,(404) 790-8585,2023-10-17,Lifeguard,Aquatics,Part-time,16,On Leave,
STF0037,EMP99025,James,Jones,johnsonjennifer@example.net,678-462-3783,2018-05-12,Group Fitness Instructor,Fitness,Part-time,45,Active,
STF0038,EMP81951,Brooke,Soto,djohnson@example.net,(770) 299-6161,2019-07-20,Nutritionist,Wellness,Contract,34,Active,
STF0039,EMP20954,John,Boyer,kelly92@example.net,(678) 377-1740,2021-05-29,Nutritionist,Wellness,Contract,47,Active,
STF0040,EMP75537,Stacy,Palmer,robert58@example.com,(678) 587-1761,2018-02-28,Membership Consultant,Sales,Full-time,23,Active,
STF0041,EMP52641,Jennifer,Williams,ccoleman@example.com,+1-470-490-7231,2018-05-12,Group Fitness Instructor,Fitness,Part-time,44,Active,
STF0042,EMP43500,Amanda,Lopez,yvalencia@example.org,404-357-2663,2025-09-14,Personal Trainer,Fitness,Full-time,20,Active,
STF0043,EMP90368,Jonathan,Cantu,alexanderramsey@example.net,(678) 425-2888,2019-10-18,Lifeguard,Aquatics,Part-time,15,Active,
STF0044,EMP94942,Jonathon,Wilson,montoyamelissa@example.org,678-457-2452,2025-01-04,Group Fitness Instructor,Fitness,Part-time,43,On Leave,
STF0045,EMP83719,Christopher,Simpson,jesse36@example.com,(678) 495-5860,2020-02-10,Maintenance Technician,Maintenance,Full-time,20,Active,
STF0046,EMP19953,Jody,Lawson,renee88@example.org,404-663-6694,2022-10-21,Personal Trainer,Fitness,Full-time,31,Active,
STF0047,EMP89068,Jose,Velasquez,tammylopez@example.com,+1-770-527-8191,2019-05-28,Childcare Attendant,Childcare,Part-time,16,Active,
STF0048,EMP10495,Daniel,Valencia,alexander44@example.com,+1-470-743-5558,2024-06-10,Group Fitness Instructor,Fitness,Part-time,29,Active,
STF0049,EMP22960,Courtney,Alexander,trobinson@example.com,+1-678-226-2943,2022-11-25,Front Desk Associate,Operations,Part-time,16,Active,
STF0050,EMP43324,Samantha,Carter,hartpaul@example.com,(470) 252-2049,2019-03-28,Maintenance Technician,Maintenance,Full-time,20,Active,
STF0051,EMP29949,Heather,Flores,justincochran@example.com,+1-404-455-1702,2022-02-13,Group Fitness Instructor,Fitness,Part-time,44,Active,
STF0052,EMP14693,Andrew,Nelson,reidmatthew@example.org,(678) 365-1777,2023-04-16,Maintenance Technician,Maintenance,Full-time,24,Active,
